dates,diamonds,butter,cars,cucumber,bananas
2004-01-15,-0.6764019067948616,-0.6216317946251777,-0.6092993395671986,1.2266098160910661,0.21939652527021514
2004-01-16,-0.6730702054764993,-0.6241062906976524,-0.6115144331343603,1.2940671928550898,-0.21823967891827706
2004-01-19,-0.6769677028230834,-0.6247428345900886,-0.618450832676991,-1.2942069907290499,-0.21801160351420681
2004-01-20,-0.6754982203388642,-0.6339610754016927,-0.6149454464429914,-1.2930671725616194,-0.2175076547782763
2004-01-21,-0.6755014567601418,-0.6569818693819157,-0.6244190239753569,-1.2998670758898665,-0.21632040882949508
2004-01-22,-0.6736833147706974,-0.6533284314139838,-0.6271962144421286,-1.310725189455107,0.21590697500879924
2004-01-23,-0.6830454497402436,-0.6575042604256673,-0.6243176474013594,1.3037632353571578,0.21591526375095957
2004-01-26,-0.6777388899012552,-0.6581367685278439,-0.6232303230130715,-1.2820344243787425,0.21808030938159134
2004-01-27,-0.6650700503299714,-0.6608934963418113,-0.6104589748871528,-1.2740187082765162,-0.21753173783560253
2004-01-28,-0.6613357419401222,-0.6563758692570612,-0.6108662546646981,-1.2981627899755388,-0.21782221252751754
2004-01-29,-0.6582736438540687,-0.6568469316858837,-0.6239551406555967,-1.2902549145238724,-0.21839402845090497
2004-01-30,-0.6615404778699319,-0.6565840987586548,-0.6240845348501279,-1.2963551582029031,-0.21841198352165322
2004-02-02,-0.6617164276738365,-0.6589769019932263,-0.6235456196736611,-1.2983728600114355,-0.21841584389328123
2004-02-03,-0.6588493112140918,-0.6591899090757625,-0.6166295811952065,-1.2993973168672381,0.21861095214855233
2004-02-04,-0.6637364695018081,-0.6624553539802599,-0.6158881439599262,-1.2991999067403086,0.21829470190503553
2004-02-05,-0.6685319474083028,-0.6634192897322085,-0.6120486328634378,-1.2943761091622235,-0.2171216499201259
2004-02-06,-0.666701928723401,-0.6632348305813504,-0.6109609896627077,-1.2802712086038617,-0.21844050613089144
2004-02-09,-0.6670542636848376,-0.6670789005612833,-0.5985408362099887,-1.280161052342818,0.21804248849757193
2004-02-10,-0.6685963460223809,-0.6632215566265187,-0.584291395041103,-1.2816237241516777,0.21709291432000224
2004-02-11,-0.6673891728392053,-0.7042024774285159,-0.5733716856897259,-1.278217546456696,0.22392008517987924
2004-02-12,-0.6524682993947781,-0.7077497099454713,-0.5741756245170482,1.2683289964377031,0.22438408666332943
2004-02-13,-0.6440078003006247,-0.7082115676827705,0.5801230187315739,-1.2637176671101074,0.2232791749737436
2004-02-16,-0.638296109732503,-0.6985303120256823,-0.5696136281703572,-1.2728540174276726,0.22349553026061678
2004-02-17,-0.631793506573401,-0.7049487117008286,-0.5757558101620005,-1.2712166831036367,0.2237943712817336
2004-02-18,-0.6514623419844522,-0.7023178497274327,-0.5759439949432156,-1.2668177929679814,0.2236710005415573
2004-02-19,-0.6741774923993952,-0.7041583059122156,-0.5848073215003876,-1.2743776388034755,-0.22646677110048977
2004-02-20,-0.6737366745962139,-0.7054781248165733,-0.5909344015134139,1.286388845366847,0.2269550542640774
2004-02-23,-0.6737530367386299,-0.7167871312739706,-0.5843004713650343,1.2928747941486378,0.22699726743071902
2004-02-24,-0.6944424350653013,-0.7182973935758928,-0.5989334107872987,1.3073414573616966,0.227833025212617
2004-02-25,-0.6861029956009375,-0.7127672464951202,-0.5959479799211765,1.3195770419989112,0.22737128989629954
2004-02-26,-0.68363736149,-0.7167105426400613,-0.6050045199073377,1.321733015597285,0.22771270489048578
2004-02-27,-0.663147178879361,-0.7083460541621107,-0.6058006515278394,1.3229411427396978,0.22541947043973584
2004-03-01,-0.6625348792904245,-0.7096860316427862,-0.6126074540231328,1.3347673471691077,0.22738338631770152
2004-03-02,-0.6614753468850266,-0.7113469534670295,-0.613468648358213,1.325533862298699,0.23401523459327317
2004-03-03,-0.6496006386668748,-0.7216089148277643,-0.614334876019119,1.3231935909891042,0.23314720526116012
2004-03-04,-0.6463791910370064,-0.7199431509256604,-0.6438422623407941,1.3210754306283086,0.2323039127697226
2004-03-05,-0.6531866744947472,-0.7235401337826002,-0.6387771060221303,1.3213106640379735,0.23498147017116758
2004-03-08,-0.6472939358368646,-0.7255673336213047,-0.6388772169157965,1.3320126315463237,0.2349728294274591
2004-03-09,-0.6449472382587246,-0.7328397121802425,-0.6400460440083885,1.3322360227564258,0.23347325661323431
2004-03-10,-0.6499133601381916,-0.7367274622472088,-0.6372441894394495,1.337698379180642,-0.23324530800325396
2004-03-11,-0.6584953919112181,-0.7277029810547936,-0.6431076952362206,1.3643999647334217,-0.23337464365322635
2004-03-12,-0.6620510468954918,-0.7306496836713677,-0.6431549121180162,1.4015117571324254,0.23601458322143068
2004-03-15,-0.6659810590820643,-0.7325486405324655,-0.6464571177663907,1.4132190061534053,0.2333321578607341
2004-03-16,-0.6656874948151469,-0.7312870891222167,-0.6465348024304398,1.4129706947830125,0.23324476236390732
2004-03-17,-0.6601856733579745,0.7288705243185452,-0.645418837631651,1.406916519708375,0.23667012307629112
2004-03-18,-0.6541565604290441,-0.7291960020459967,-0.6343590545850861,1.4876983158489112,0.23588612009908144
2004-03-19,-0.6540502140309356,-0.7353465988402503,-0.6344452268866416,1.4861991399113312,0.23597878634924055
2004-03-22,-0.6548090659836472,-0.7349800618323773,-0.6364337110470362,1.4783003734088738,0.24272854238823197
2004-03-23,-0.6578034922964171,-0.7297005782675592,-0.6431646227942173,1.4864240558156554,0.24056683743296578
2004-03-24,-0.6572917468308024,-0.7321246512547867,-0.6514489329879184,1.4826811283845462,0.24041995383561104
2004-03-25,-0.6555494354636184,-0.733121083146553,-0.6521069491659696,1.4844231059093753,0.24174049023315972
2004-03-26,-0.6557298101266715,-0.733296094244132,-0.657292740732806,1.4813465611351049,0.24232571221548957
2004-03-29,-0.6514117515455436,-0.7335233225477694,-0.6558750635232479,1.5082630295950201,0.24023576352427656
2004-03-30,-0.6505891711477281,-0.739646588983661,-0.6512119930488862,1.4784166900400466,0.24025231978290887
2004-03-31,-0.6507125731069481,-0.7412395421381781,-0.6432291501012971,1.4775369197640098,0.23893149895323387
2004-04-01,-0.6555090125072228,-0.7396465889836618,-0.6345793425179294,1.4760923444151264,0.2402010813566871
2004-04-02,-0.6556776552773633,-0.7316741726791739,-0.6364647765486724,-1.4563386494343815,0.23862080293362967
2004-04-05,-0.6602905791159167,-0.7246981893629011,-0.63559460402775,1.4594574978816792,0.23795107451218542
2004-04-06,-0.6594974728909844,-0.7357234414365764,-0.6361458305050824,1.4758560118262167,0.23819971644508686
2004-04-07,-0.6598540168485625,-0.7370309522953628,-0.636037091487835,1.4766780379025006,0.24407574205628058
2004-04-08,-0.6525948583774079,-0.7410219555175304,0.6237357797718364,1.5306542810922728,0.24589346753677332
2004-04-09,-0.652318218959033,-0.7410384357274097,0.6253890348091679,1.5481638421917925,0.24589945196569177
2004-04-12,-0.6518918675441843,-0.723453408590378,0.6251869735168125,1.5391593274311088,0.2448094335006633
2004-04-13,-0.6492321252099514,-0.7344874424777638,0.6246779834133098,1.5383941782976764,0.24642247163009554
2004-04-14,-0.6474514303108688,-0.7384757061446209,0.6114812778454578,1.5304015184636683,0.2443585548969408
2004-04-15,-0.6481996382732017,0.7363590571373801,0.6047615141971702,1.5225992173726004,0.23969580925594464
2004-04-16,-0.6515989674019271,0.7293216600319736,0.6052326317197788,-1.4991964586402076,0.24065660218456644
2004-04-19,-0.6514087109657062,0.7259698864165177,0.6043526294527604,-1.503618300114646,0.24293493095400395
2004-04-20,-0.6563464614953174,0.7091618962331246,0.5786163166800159,-1.4885501951436797,0.2446169169277628
2004-04-21,-0.6531182683338576,0.7103713349831888,-0.5794552941929956,-1.4853267108717414,0.24613994852344148
2004-04-22,-0.659669357103356,-0.7085474829631596,-0.5677825531582574,-1.4841876539679935,0.24736952835923492
2004-04-23,-0.6696618424640162,-0.7142346993433726,-0.5737387624292103,-1.4782034638519792,0.24829766409248025
2004-04-26,-0.668196359963338,0.6860007970785094,-0.5723602444405621,-1.5234347151594245,0.2480415298276287
2004-04-27,-0.6899970558923443,0.6846617552068878,-0.5642016749617872,-1.5132420606875951,0.24732075637171827
2004-04-28,-0.6899970558923444,0.6703593445671016,-0.5605256122953356,-1.4950455922039592,0.25244528940918864
2004-04-29,-0.6927896192720059,0.6706796491263645,0.5498864945214705,-1.45567501539547,0.2616259166455211
2004-04-30,-0.7010096271217467,0.670177164310069,0.5462984382409374,-1.4713489258635728,0.2631863291449791
2004-05-03,-0.698297121066573,0.6655686446134305,0.5460052054036583,-1.4716293102518252,0.26663933575788384
2004-05-04,-0.7017936131985523,0.6645345682345452,0.545829492190249,-1.4495844329068495,0.2675072419479135
2004-05-05,-0.7077302122248673,0.6644201473867865,0.5157469050056791,-1.443252400429413,0.2684463641527513
2004-05-06,-0.711408333203408,0.6667555733372861,0.5156758573252973,-1.439501728434704,0.2808437040666964
2004-05-07,-0.7114688284873013,-0.6667059293941687,0.5157927312470728,-1.4279668563028936,0.2808081251867124
2004-05-10,-0.7111501415066808,-0.6652020260003287,0.5191879162033605,-1.421305089201726,0.28090028383511434
2004-05-11,-0.7023563053429107,-0.6633343376849298,0.5154774771339801,-1.4188694174080307,0.2796802036210375
2004-05-12,-0.7039288525845009,-0.6665056879552359,0.51632604957766,-1.421435746361178,0.27991940556248424
2004-05-13,-0.7081009447076002,-0.6679976046877963,0.5056610875959007,-1.4216770542748938,0.2786276520711133
2004-05-14,-0.7062363516040211,-0.6656876423115221,0.5002101949715226,-1.4225729785276062,0.2790537159006883
2004-05-17,-0.706046213766433,-0.6695367992834631,0.4995406961561122,-1.4048588461544036,0.2789185980221357
2004-05-18,-0.7068253440233118,-0.6747664440792317,0.49837477108974987,-1.4017747329591292,0.2780554462200453
2004-05-19,-0.7110618630917926,-0.6758912460442489,0.49682585841050697,-1.3963974730769573,0.2764485489854019
2004-05-20,-0.7144875125988772,-0.6751865091089082,0.4965788116979852,-1.4037192807994556,0.2764765679763088
2004-05-21,-0.7114346179487012,0.6772210042899383,0.49680525710022333,-1.421441490359802,0.27662469661715205
2004-05-24,-0.7110746263691021,0.6868258223141951,0.4855336411532343,-1.427736883462346,0.2768510553473606
2004-05-25,-0.7177839136725676,-0.6921137863208464,0.4870955274409419,-1.4312641539865758,0.2773833434317468
2004-05-26,-0.721214882112748,-0.6874169054480971,0.48382039831498996,-1.4336228771372532,0.2781339572147349
2004-05-27,-0.7201032898063856,-0.6913695267481063,0.4806283312486673,-1.44518177337039,0.2782000780150799
2004-05-28,-0.7200444851464304,-0.6913865465290382,0.48095730824346444,-1.4515240548498027,0.2782131592472933
2004-05-31,-0.7197637282556135,-0.6907772620825758,0.45921732406212157,-1.4301995721734666,0.2842085011051865
2004-06-01,-0.7263439849238437,-0.6868217723981891,0.45057750298729776,-1.4446930511361507,0.2830224095051395
2004-06-02,-0.7217735521860312,-0.6906673599079546,0.45050507123995964,-1.4542858696568883,0.28248863712751615
2004-06-03,-0.7244954134198942,-0.6856366122432807,0.4506309346396309,-1.464237137530346,0.29391173943176846
2004-06-04,-0.7335327949784358,-0.6860954058311663,0.4525371953726013,-1.4492875386988318,0.2992002980193469
2004-06-07,-0.7354806359009118,-0.6833568492809756,0.4525145380238576,-1.4273761374008918,-0.294590479823749
2004-06-08,-0.7376852197610843,-0.6836889673557274,0.45274056877779784,-1.4222175699981483,-0.29083514184719733
2004-06-09,-0.7370539744185592,-0.6831080781075198,0.45154969445162324,-1.4206537770396694,-0.29335308320569187
2004-06-10,-0.7276946960358666,-0.6923423287256727,0.45150698017928104,-1.4198802532008576,-0.2991611063777824
2004-06-11,-0.7276946960358665,-0.6916186697322727,0.45168477523478356,-1.451759597272907,-0.2980222454055402
2004-06-14,-0.733734170923936,-0.681057342293423,0.4487734605747438,-1.4845212439625852,-0.29435902621245974
2004-06-15,-0.741093377702596,-0.6772629382003558,0.45339925988001284,-1.4850908287607134,-0.2960120143910892
2004-06-16,-0.7496197113096507,-0.6747988589417906,0.45171528074865774,-1.4846390353232282,-0.29750351654023927
2004-06-17,-0.7563980582845089,-0.672857931513013,0.4503412227804331,-1.5067196986421882,-0.2959218061329842
2004-06-18,-0.7558585464723013,-0.6657858966784019,0.45014042576648056,-1.4831507110459827,-0.2917083849617361
2004-06-21,-0.7555322877579976,-0.6618545343267965,0.4481939715613637,-1.488202346223121,-0.2933037042207485
2004-06-22,-0.7639328008138264,-0.6584368651921617,0.4506722565595852,-1.4875962544269263,-0.2938470942080877
2004-06-23,-0.7459959585375648,-0.6315553230925915,0.44584915564729294,-1.4866293601709695,-0.29456017647203653
2004-06-24,-0.7251210278145391,-0.6287284116288565,0.44888883236214994,-1.4878267455452838,-0.2966464823598835
2004-06-25,-0.7171130914938069,-0.6318048553667934,0.4502631081983202,-1.5095375752342972,-0.2941474577170579
2004-06-28,-0.7171427798260934,-0.6297392790301002,0.45468159757960536,-1.5141420759850948,-0.29340434358674394
2004-06-29,-0.7165741799272155,-0.6305069976737734,0.4505924601043782,-1.5090304620332289,-0.29746642233480675
2004-06-30,-0.7183385344164782,-0.6299797883046913,0.45613043432467504,-1.5104895766736077,-0.2973130854974051
2004-07-01,-0.736275823031652,0.624331761708194,0.4562386115798545,-1.5265538891329535,-0.2977840673407501
2004-07-02,-0.7445360067243701,0.6210128461257668,0.4537904371846566,-1.5203539114708973,-0.2978928540688351
2004-07-05,-0.7537252599443796,-0.6242569424608877,0.4593073633183898,-1.5088260423401356,-0.29787990173555495
2004-07-06,-0.7636625507684714,0.6240443107561049,0.46039022547085695,-1.4880952380952355,-0.298019876411847
2004-07-07,-0.7592745214554555,0.620947712939033,0.4520942573949155,-1.496067518643767,0.295673618439444
2004-07-08,-0.7608534745590968,-0.6176482596590086,0.45030127015083643,-1.4946046871351453,-0.2950855502919318
2004-07-09,-0.7601929900613162,-0.6167172888136933,0.44948541743591097,-1.4913898929219571,-0.29500772609907344
2004-07-12,-0.7605563405287481,0.6165122662896889,0.4517160642042806,-1.492138488099242,-0.29664248843154273
2004-07-13,-0.7733091759444419,0.6151773100797547,0.45058440960549767,-1.4769018796006406,-0.29558617251990565
2004-07-14,-0.7816630298695525,-0.6146694833711693,0.45060403345253786,-1.4767971927553367,-0.2965056438031433
2004-07-15,-0.782550954693624,-0.6095129844481966,0.45152842785682246,-1.4779467456698427,-0.28995538356145684
2004-07-16,-0.8153404325600263,0.614857678940194,0.44968247439150355,-1.4807439337566215,-0.2947267367273451
2004-07-19,-0.8136235954607799,0.6148744158020969,0.4502794490906148,-1.478743169439984,-0.296550346588958
2004-07-20,-0.8050780886027639,-0.6170807123759411,0.4478805383161541,-1.493332594233437,-0.29604698432900184
2004-07-21,-0.8165548305832894,-0.619871678273221,0.4478244865074692,-1.4907749301591116,-0.3003298366648067
2004-07-22,-0.8250954272888579,-0.6228561738157207,0.44788197581878453,-1.4558200113971607,-0.29564380654048106
2004-07-23,-0.8154732604089487,-0.6270248119890749,0.44962792497534615,-1.4385094545199208,-0.2953981729630702
2004-07-26,-0.8062191033943823,0.6265915075963224,0.4489256507053418,-1.430927096645305,-0.29173646334154446
2004-07-27,-0.8104616593332471,0.6249564254558408,0.4496992068573931,-1.44375470833993,-0.2893669093850999
2004-07-28,-0.8078994158297421,0.6242059834500503,0.4433505756513224,-1.4434658924117894,-0.2892677521978048
2004-07-29,-0.8078234928662841,0.6324888018196715,0.44205485659396265,-1.42173452665621,-0.2892677521978048
2004-07-30,-0.8142936393124914,0.6412520269317277,0.44131658030264037,-1.4211787736825916,-0.28945736460732135
2004-08-02,-0.7981931478263241,0.6405487497587756,0.43878362021470724,-1.417263962605662,0.2932225789821483
2004-08-03,-0.798276561242317,0.641907101246737,0.4242101847143887,-1.401140263561198,0.2935631054628128
2004-08-04,-0.8081180775221071,0.6300680649519786,0.41855298874973124,-1.4063000762983426,-0.2868754721799345
2004-08-05,-0.8176388025240013,0.6241009426806567,0.42185625608439165,-1.407816896420374,-0.2840212326759288
2004-08-06,-0.8177481481937358,0.6228402263904136,0.42193585776864967,-1.4056747211061726,-0.28312501560699055
2004-08-09,-0.8178206138636648,0.6207067547350514,0.4156087878394925,-1.4092434694101599,-0.2839191370877434
2004-08-10,-0.8161560428499721,0.6222665722035113,0.41602636324776054,-1.3922756686467463,0.28556945131162687
2004-08-11,0.8114197226168708,0.622023835320257,0.41576433285840364,-1.3976503166351122,0.2857519724697969
2004-08-12,0.8150135189858714,0.6240294869186335,0.4133211821631097,-1.4001318426217435,0.27981838181918195
2004-08-13,0.8151348130082161,0.625401631925436,0.41288128231223864,-1.4027618673175344,0.2789323125711122
2004-08-16,0.8225086090576049,0.6232156781338813,0.41150834768633104,-1.3929076251250128,0.28159001292670843
2004-08-17,0.8235623093189907,0.6232156781338813,0.412752504187835,-1.4138686205074706,0.2807843913072324
2004-08-18,0.8222750021954899,0.6188753963757013,0.4137874275635833,-1.3696124507410004,0.28316012031950166
2004-08-19,0.8244533000019029,0.6200506289528358,0.4156985883076764,-1.3656029500245637,0.28330690014397625
2004-08-20,0.8211719575804964,0.6259811875586297,0.41557225237122114,-1.3796489827607192,0.28485131912536354
2004-08-23,0.8167732416547232,0.6305199066053634,0.4157437079860656,-1.3598257620017788,0.2730873263347883
2004-08-24,0.8147118725827736,0.6342940975032931,0.415734618206784,-1.347964770107064,0.2734557574198016
2004-08-25,0.8152954484546283,0.6316287657713632,0.41539979014237993,1.3346793688813445,0.27392660091504417
2004-08-26,0.8294406408211757,0.6330095311968853,0.4177817316250278,1.336169020678711,0.27302506856148284
2004-08-27,0.8373309555609291,0.6281131951221348,0.41784474900355645,1.3316263945601325,0.2729448660663808
2004-08-30,0.8252668023687747,0.6338161478007909,0.41341261646129424,1.2717017697107789,0.27548872124514273
2004-08-31,0.8313350463695074,0.6338029080553751,0.4124063055511739,1.2573892269238653,0.2755824366630378
2004-09-01,0.8348315771543098,0.6314169476108797,0.41603507612450735,1.2473250174540393,0.27780874360312136
2004-09-02,0.8249794585250297,0.6322545070583226,0.4190962085906043,1.2525930071019833,0.2836266964381403
2004-09-03,0.8245855862506166,0.6260540520801434,0.4162920639438946,1.2366647144074645,-0.28343169462483264
2004-09-06,0.8252875993962828,0.6180990344170653,0.4132405344470309,1.2324985674330935,0.27837639365937167
2004-09-07,0.8176915563330632,0.6346369744922561,0.4212452769049711,1.2272747444170842,-0.2754459953353918
2004-09-08,0.823719037182182,0.6348047204691778,0.42073492301219784,1.2289937808985794,-0.27588473377818434
2004-09-09,0.8215878517781926,0.6355960162555032,0.421213699022027,1.2301286242990699,-0.2692893279013219
2004-09-10,0.8273070354154638,0.6324034241382847,0.4213967625914876,1.2289093277811771,0.2703995260648931
2004-09-13,0.8270056776284932,0.6561210861524744,0.42123641943301604,1.2269356805938556,0.2708003729748024
2004-09-14,0.8204165984624233,0.6566640764530306,0.4196240730970021,1.2308552334105045,0.2717678290787602
2004-09-15,0.8200565194229651,0.6698556250973358,0.42227576017299995,1.24147856173988,-0.271336104211277
2004-09-16,0.8190986216904597,0.6690543964645449,0.4277011304649908,1.265672721952535,-0.27668058558888203
2004-09-17,0.8210908473555236,0.6694103262701806,0.4296273517266985,1.2408552459843591,-0.27676274953436114
2004-09-20,0.8269827709324813,0.6709514764256571,0.426586883193432,1.234372253404259,-0.2768168555834252
2004-09-21,0.8271075082010783,0.6707110259661856,0.42512442183552485,1.2475346564795384,-0.2759549472087455
2004-09-22,0.8336807727202638,0.664331731765949,0.43776287944401,1.2422868273200547,-0.27205691733582105
2004-09-23,0.8397729560848686,0.6586390626480859,0.4372707235709587,1.2439389022866474,0.2698167424116204
2004-09-24,0.8386190224542975,0.6392982495101932,0.43681347540735005,1.258193135964908,0.269912778930184
2004-09-27,0.837786013594029,0.6417484634119738,0.4378213214183749,1.2543073179852309,0.270065549798754
2004-09-28,0.8554057034501485,0.636210456903393,0.43942245254143,1.2520450467969229,0.2674686104720192
2004-09-29,0.8091724618353381,0.6330133359451019,0.4394406537828499,1.2346093001981562,0.26684529695634474
2004-09-30,0.8061496778918739,0.630610667494716,0.4359156904283123,1.2207255355665951,0.26391097843424466
2004-10-01,0.8008769598802189,0.6247313744544152,0.43922226093890215,1.2220237047549078,0.25959753565430577
2004-10-04,0.8008050535801657,0.6014225189557482,0.43745729019051366,1.231385164831199,0.2594001430770914
2004-10-05,0.7964005037626034,0.601517715288266,0.4178361043076828,1.235740914484093,-0.2581326528022444
2004-10-06,0.7990338171527586,0.5999577524625548,0.41230348131028455,1.2265516862697268,-0.25903172910540573
2004-10-07,0.798587302792553,0.6017726287008386,0.41150510739714175,1.2265516862697268,-0.2496582100147487
2004-10-08,0.8008993061394591,0.5986074271943036,0.4087436131617476,1.2367082161505312,-0.24782744849802904
2004-10-11,0.8003081459472227,0.5987606386447942,0.41288349943447117,1.2291191005711763,-0.242941404541312
2004-10-12,0.79178549220603,0.6039469961253815,0.4104039901119776,1.231040818134014,-0.23651768765595427
2004-10-13,0.7930735327107796,0.6059764763237337,0.4126778462786536,1.233018440082795,-0.23647214005632106
2004-10-14,0.7945890286949758,0.606057934736753,0.41469956523881385,1.2327232965184802,0.23550359224429093
2004-10-15,0.7951243612020662,0.6058479012163476,0.4146956784482764,1.2368803767671686,0.2346873912736085
2004-10-18,0.7935086086072515,0.6028087847892938,0.4225700342839289,1.2429996773042835,0.2346683469063898
2004-10-19,0.7919145850500978,0.6051813145420525,0.42930527854025763,1.2429151841661246,-0.2349543056400159
2004-10-20,0.8015754576855166,0.597735892244417,0.422367391064278,1.2427654432122721,-0.23465784120813224
2004-10-21,0.7956922611468985,0.5915311581889743,0.42333212555203936,1.2431523847464425,-0.23454534558811824
2004-10-22,0.7935228486560801,0.5873869395375537,0.4233406606662724,1.2479756314470696,-0.2336937828968755
2004-10-25,0.7930817633027853,0.5885593965032151,0.4120857466342585,1.2603317755957357,0.2332060190723618
2004-10-26,0.7875353729456867,0.589101645584738,0.4097580251686633,1.2576497315557322,0.235847042855191
2004-10-27,0.7775459740394476,0.5864057821529626,0.40658577202419527,1.251423325779462,0.23620784666423927
2004-10-28,0.7910659647763887,0.5850473738693895,0.3963421532489296,1.2459088449438032,0.23166843816122434
2004-10-29,0.7907394423020924,0.58376041909774,0.39105094501457743,1.2327186134086352,0.2299899548676126
2004-11-01,0.7908719814519038,0.5835978603814036,0.3848159567392539,1.2227342097299192,0.2242489683634808
2004-11-02,0.8033914285966347,0.587565566427551,0.3849509678229892,1.2261072203244983,0.22289063606905574
2004-11-03,0.8038655334881032,0.5905446707393232,0.3849069367741784,1.2251057181681144,0.22285837006242845
2004-11-04,0.787576405016485,0.592096926602567,0.38504749543820166,1.2250836538650474,0.21832321500755789
2004-11-05,0.7769728671236416,0.5947046090499629,0.3845283352056208,1.235676759947226,0.21951591536713144
2004-11-08,0.7605138898024065,0.5966873888325416,0.3837607654325761,1.224986217451363,0.21956154663620153
2004-11-09,0.7603245977242812,0.5973427887423925,0.3806685305000669,1.2174318093691836,0.21629500049552222
2004-11-10,0.7697827966678917,0.6193027358496299,0.3839527575257452,1.2180304107086068,0.2155768773175071
2004-11-11,0.7932569111710621,0.6256232454589294,0.3841243488745925,1.1770311351522873,0.21589907466779615
2004-11-12,0.807149035645296,0.6255986373031124,0.3798138397599711,1.1759921503444521,0.21557187320689367
2004-11-15,0.8005994571065133,0.6278406608840144,0.3776159055971616,1.1742396207352004,0.2158879452130608
2004-11-16,0.8003858149203115,0.6265143975641007,0.38386310273915525,1.1738577026067727,0.21536933678471928
2004-11-17,0.75940039727689,0.6181245393878896,0.3837016619514326,1.1664371765271377,0.21574503047961788
2004-11-18,0.7580934688907457,0.6208216953259871,0.37810739761060486,1.165236859601244,0.21531126030091083
2004-11-19,0.7588542216945177,0.6211512023995983,0.3791652679279164,1.168136620688667,0.21300093770972434
2004-11-22,0.7573953847212266,0.6208910972442363,0.37099027410214774,1.0951812081361165,0.20724443228791004
2004-11-23,-0.7557178063665314,0.6211081882510993,0.36539680415234976,1.1039518242403041,0.2073035481961372
2004-11-24,0.7361421486629595,0.6237981532892964,0.36966788288066527,1.098773727612142,0.20554866907996133
2004-11-25,0.7362714325676597,0.625511980951434,0.3680772328028026,1.0959432248079524,0.20653530267885656
2004-11-26,0.7326581450337246,0.6277580173223509,0.3637075009593554,1.0928054622980679,0.20645661583946295
2004-11-29,-0.7104012693593139,0.6272539556830087,0.36312628038261574,1.0775987199596888,0.20534109476157245
2004-11-30,-0.7101380840814091,0.6009220410527061,0.36072329807287457,1.0713985070963585,0.19961065985125417
2004-12-01,-0.7117709956752795,0.596830732663364,0.36179826567860707,1.0708577815186608,0.19630764738711795
2004-12-02,-0.7123152176239061,0.6017813456942619,0.36146343173078804,1.0688782356490167,0.19813390604777198
2004-12-03,-0.712486594301211,0.6018284240054841,0.362386875378236,1.0618481817242287,0.19863689513547866
2004-12-06,-0.7149296232984664,0.6015427458280032,0.3622698602272571,1.0519714626987928,0.1984251074002918
2004-12-07,0.7142317845339554,0.6006912888680903,0.3633668154054695,1.0335841399863865,0.19760444590299406
2004-12-08,-0.7217434730241584,0.5921491390261201,0.3636393689328248,0.9791154524910873,0.19588251879727983
2004-12-09,-0.7201578136625802,0.5889641041169184,0.36351518006349903,0.9900587328676713,0.19760168750399132
2004-12-10,-0.7267591560783574,0.5896017341335101,0.36328878148534,0.994535125932614,0.19646654344793535
2004-12-13,-0.7397530332486433,0.5876153717462236,0.36178233054102,0.9964168508583268,0.1966695476322294
2004-12-14,0.7377693343930706,0.5889428581589301,0.3600895985584956,0.9963535423948987,0.19589434630172264
2004-12-15,0.7399589693767813,0.5833502568128285,0.3633060434178482,0.9545161756052419,0.19601211423192538
2004-12-16,0.7391758312140835,0.5828363918149816,0.36414367724869057,0.9292283882273774,0.18925907152179128
2004-12-17,0.7374934095463546,0.5829818688229289,0.3627393898721906,0.9309017994131099,0.18924832083293694
2004-12-20,0.7487998633767499,0.5807623988958138,0.3647204166628063,0.9163131874929983,0.19001643638205384
2004-12-21,-0.7459604653876467,0.5794586990719897,0.3728221043102913,0.9111637169233103,0.1900021126927373
2004-12-22,-0.7409676396474185,0.5840548616630004,0.37664235755144027,0.9046784648428218,0.19183424588878936
2004-12-23,0.7416657036092291,0.57899550644055,0.3767667781611475,0.9035890451566658,0.19313329472374852
2004-12-24,-0.7402857419264468,0.5755500779422096,0.36935061738005126,0.9018511229717944,0.1891553624888044
2004-12-27,0.7435791025649419,0.5753586600225052,0.3731684909660132,0.8804191708577043,0.18917545291067625
2004-12-28,-0.7251990099034686,0.5677167616967047,0.37145006187664015,0.8805707130495696,0.18966119250442812
2004-12-29,-0.7282618127182242,0.5678647559899256,0.3638029212757221,0.8793473022396401,0.18970783379769757
2004-12-30,-0.7220028413394753,0.5689011129605078,0.36546444017093505,0.8695832996516957,0.19077938039749298
2005-01-03,-0.7208081988330116,0.5530923537501683,0.3619725767360018,0.8673353103379539,0.19164626493153178
2005-01-04,-0.7198953912503169,0.5524652774951957,0.3620258254570578,0.8614021746415429,0.19184372406759845
2005-01-05,-0.7127458828335648,0.5479245597337594,0.36128018756917724,0.8470279564000952,0.1904753577422063
2005-01-06,-0.7130154229363952,0.5513967068162616,0.3619915965212731,0.8577824761681356,0.1904772616438483
2005-01-07,-0.714581269345548,0.549421772074303,-0.3622946094661262,0.8570563163150595,0.19029755858701494
2005-01-10,-0.7171826159277295,0.5390821479841085,0.3623307320113254,0.8427184062810921,0.19033988513961703
2005-01-11,-0.715588651154593,0.534863147318855,0.3616199028574042,-0.8391707209887693,0.19455041944643536
2005-01-12,-0.7162158859670044,0.5321971485965202,0.35984367324421695,-0.8412392836859808,0.19455110795671807
2005-01-13,-0.7154490823892866,0.5283677478270645,0.3520808987145632,0.844766656093487,0.1940062284794323
